Invoice ID,City,Customer Type,Gender,Product Line,Unit price,Quantity,Tax 5%,Total,Date,Payment,COGS,Gross Margin Percentage,Gross Income
750-67-8428,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,Ewallet,522.83,4.761904762,26.1415
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,Cash,76.4,4.761904762,3.82
631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,Credit card,324.31,4.761904762,16.2155
123-19-1176,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,Ewallet,465.76,4.761904762,23.288
373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,Ewallet,604.17,4.761904762,30.2085
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,Ewallet,597.73,4.761904762,29.8865
355-53-5943,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,Ewallet,413.04,4.761904762,20.652
315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,Ewallet,735.6,4.761904762,36.78
665-32-9167,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,1/10/2019,Credit card,72.52,4.761904762,3.626
692-92-5582,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,Credit card,164.52,4.761904762,8.226
351-62-0822,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,Ewallet,57.92,4.761904762,2.896
529-56-3974,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,Cash,102.04,4.761904762,5.102
365-64-0515,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,Ewallet,234.75,4.761904762,11.7375
252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/2019,Ewallet,431.9,4.761904762,21.595
829-34-3910,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,Cash,713.8,4.761904762,35.69
299-46-1805,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,Cash,562.32,4.761904762,28.116
656-95-9349,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,Credit card,482.51,4.761904762,24.1255
765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,1/1/2019,Credit card,435.66,4.761904762,21.783
329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,Credit card,164.01,4.761904762,8.2005
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,Ewallet,80.6,4.761904762,4.03
300-71-4605,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,Ewallet,430.2,4.761904762,21.51
371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,3/5/2019,Ewallet,263.94,4.761904762,13.197
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,Credit card,66.4,4.761904762,3.32
636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,Ewallet,172.8,4.761904762,8.64
549-59-1358,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,Ewallet,265.89,4.761904762,13.2945
227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,Credit card,420.72,4.761904762,21.036
649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,Cash,33.52,4.761904762,1.676
189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,3/10/2019,Credit card,175.34,4.761904762,8.767
145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,Cash,441.8,4.761904762,22.09
848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,Cash,224.01,4.761904762,11.2005
871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,Credit card,470.65,4.761904762,23.5325
149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,Cash,702.63,4.761904762,35.1315
640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,1/10/2019,Cash,670.24,4.761904762,33.512
595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,3/15/2019,Credit card,193.16,4.761904762,9.658
183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2/6/2019,Ewallet,397.68,4.761904762,19.884
232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,1/7/2019,Ewallet,68.12,4.761904762,3.406
129-29-8530,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,3/10/2019,Ewallet,313.1,4.761904762,15.655
272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,Ewallet,547.92,4.761904762,27.396
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,3/23/2019,Ewallet,439.36,4.761904762,21.968
777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,3/3/2019,Cash,240.96,4.761904762,12.048
280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,Ewallet,86.72,4.761904762,4.336
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2/2/2019,Cash,112.22,4.761904762,5.611
354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2/8/2019,Cash,414.72,4.761904762,20.736
228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/2019,Cash,789.6,4.761904762,39.48
617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,3/16/2019,Cash,30.74,4.761904762,1.537
132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,Cash,375.84,4.761904762,18.792
370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,Credit card,510.21,4.761904762,25.5105
727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2/6/2019,Ewallet,180.09,4.761904762,9.0045
669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2/10/2019,Credit card,113.58,4.761904762,5.679
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,Ewallet,826.3,4.761904762,41.315
326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,Cash,639.8,4.761904762,31.99
162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2/10/2019,Cash,222.95,4.761904762,11.1475
616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,Ewallet,71.48,4.761904762,3.574
